Customer Name,Email Address,Mobile Number,Location
RAMESH KUMAR,ramesh@gmail.com,9876543210,HYD
Ramesh Kumar,ramesh@gmail.com,9876543210,Hyderabad
PRIYA SHARMA,priya@gmail.com,9876543211,Bangalore
Priya Sharma,wrong-email,12345,Bengaluru
JOHN SMITH,john@gmail,9876543212,Chennai
Rahul Kumar,,98765,Mumbai
Anita Rao,anita@gmail.com,9876543214,Hyd
Suresh Kumar,suresh@gmail.com,9876543215,Bangalore
SURESH KUMAR,suresh@gmail.com,9876543215,Bengaluru
David Wilson,david@gmail.com,9876543216,Chennai
